,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,권나현,"3개국어하던 아리가 답을 못적엇다는게 조금 슬프기도 하다..,,ㅜㅜ",5,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
1,파츄리,미네네 : 레이스케군~~,0,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
2,파츄리,미네네 : 안되!! 레이스케거야!!,1,4,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
3,좋아요 쥬시쿨,민유라ㅋㅋㅋㅋ 머리롴ㅋㅋㅋㅋㅋㅋㅋ 너무 웃겨 봐도봐도 너무 웃겨ㅋㅋㅋ,15,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
4,푸딩,강주승민유라안버렸네,5,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
5,초월,아 진짜 이엘리아 귀여워서 미치겠다ㅜ,11,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
6,애플망고,매력터지는 이엘리야도 보고싶고 귀염둥이 동식이도 보고프다,11,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
7,명성,진짜 귀여워요ㅠ,9,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
8,효,아 귀여워 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 몇 번째 보는지 모르겠음 이엘리야 악역만 많이 했던거 같은데 매력 터져 ㅠㅠㅠ,12,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
9,think inno,민유라 왜 저렇게 만든거야 겁나 기괴하네,6,1,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
10,별난bella,귀여웤ㅋㅋ 너무 귀여웤ㅋㅋㅋ 유라 아리랑 동식이 만큼이나 귀여웤ㅋㅋㅋ 아리도 너무 귀엽다ㅋㅋ 할아버지 앞치마에 숨는거뭐얔ㅋ,17,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
11,봄햇살,와ᆢ이 동영상 조회수 어쩔ᆢ이엘리야 인기 하늘을 찌르는군요,20,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
12,언제나 에리,이거 메이킹좀 올려주세요... 이엘이야 보고싶어요~,18,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
13,노가미 료타로,이 장면의 메이킹 없나요? 한번 보고싶은데,18,1,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
14,tjsa****,동식이 너무 귀여브^^,11,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
15,도연킴,"허.. 이엘리야님께서 너무 동안이셔서 누가보면 초등학생 남동생과, 중학생3학년~고등학교1학년 되는 누나인 줄 알겠네.우리 언니는 .... 에휴.. 욕나와요..",11,1,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
16,도연킴,머리로 싸다구 친 이유가 있었어. ......지금 주먹밥 만들고 있어서 손이 없잖아! 발로 치면 다리 아프고 혹여나 넘어지면 들고 있던 주먹밥 떨어지니까ㅋ(단순),10,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
17,도연킴,안돼! 동식이꺼야!!!동식역 한결: 이엘리야 배우님 너무 귀여우시다!ㅎ / 드라마 속 동식:어머머! 할아버지...ㅋ 아이 참말로 아프신 모양이것네.,8,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
18,Sagetoday,황후의 품격은 시트콤이다괜히 진지하게 봤네,14,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
19,샴페인,와 조회수봨ㅋㅋㅋ,9,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
20,권나현,"3개국어하던 아리가 답을 못적엇다는게 조금 슬프기도 하다..,,ㅜㅜ",5,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
21,파츄리,미네네 : 레이스케군~~,0,0,“안돼 동식이거야” 아들밖에 모르는 아들바보 이엘리야,"재생수 654,196","4,213",687,26
